,month,airport,arrFlight,depFlight,flights
0,201911,김포,817,817,1634
1,201911,김해,2269,2272,4541
2,201911,대구,561,562,1123
3,201911,무안,124,124,248
4,201911,인천,14232,14240,28472
5,201911,제주,769,765,1534
6,201911,청주,113,114,227
7,201912,김포,868,868,1736
8,201912,김해,2485,2478,4963
9,201912,대구,543,546,1089
10,201912,무안,118,117,235
11,201912,양양,6,6,12
12,201912,인천,15403,15403,30806
13,201912,제주,810,819,1629
14,201912,청주,87,86,173
15,202001,김포,867,866,1733
16,202001,김해,2550,2557,5107
17,202001,대구,545,550,1095
18,202001,무안,129,129,258
19,202001,양양,47,47,94
20,202001,인천,15877,15864,31741
21,202001,제주,802,809,1611
22,202001,청주,99,98,197
23,202002,김포,698,702,1400
24,202002,김해,1792,1777,3569
25,202002,대구,319,311,630
26,202002,무안,71,70,141
27,202002,양양,20,20,40
28,202002,인천,11633,11598,23231
29,202002,제주,199,195,394
30,202002,청주,30,32,62
31,202003,김포,152,153,305
32,202003,김해,191,186,377
33,202003,무안,1,1,2
34,202003,인천,2959,2864,5823
35,202003,제주,24,25,49
