,month,arrFlight,depFlight,flights,country,region
0,201911,17,18,35,네팔,기타
1,201911,13,13,26,몰디브,기타
2,201911,0,0,0,스리랑카,기타
3,201911,30,21,51,에티오피아,기타
4,201911,60,60,120,인도,기타
5,201911,236,236,472,괌,대양주
6,201911,34,34,68,뉴질랜드,대양주
7,201911,159,159,318,사이판,대양주
8,201911,23,22,45,팔라우,대양주
9,201911,112,112,224,하와이,대양주
10,201911,90,90,180,호주,대양주
11,201911,120,120,240,라오스,동남아
12,201911,357,357,714,말레이시아,동남아
13,201911,30,30,60,미얀마,동남아
14,201911,1804,1803,3607,베트남,동남아
15,201911,17,17,34,브루나이,동남아
16,201911,269,273,542,싱가포르,동남아
17,201911,152,151,303,인도네시아,동남아
18,201911,77,77,154,캄보디아,동남아
19,201911,721,722,1443,태국,동남아
20,201911,1055,1056,2111,필리핀,동남아
21,201911,560,560,1120,대만,동북아
22,201911,222,220,442,마카오,동북아
23,201911,71,72,143,몽골,동북아
24,201911,704,741,1445,홍콩,동북아
25,201911,35,35,70,멕시코,미주
26,201911,1213,1146,2359,미국,미주
27,201911,12,13,25,브라질,미주
28,201911,0,0,0,칠레,미주
29,201911,104,105,209,캐나다,미주
30,201911,0,0,0,페루,미주
31,201911,47,47,94,네덜란드,유럽
32,201911,12,13,25,노르웨이,유럽
33,201911,223,224,447,독일,유럽
34,201911,316,316,632,러시아,유럽
35,201911,14,14,28,룩셈부르크,유럽
36,201911,17,17,34,벨기에,유럽
37,201911,13,13,26,스웨덴,유럽
38,201911,13,13,26,스위스,유럽
39,201911,56,56,112,스페인,유럽
40,201911,12,13,25,아제르바이잔,유럽
41,201911,91,91,182,영국,유럽
42,201911,13,13,26,오스트리아,유럽
43,201911,56,56,112,우즈베키스탄,유럽
44,201911,98,98,196,이탈리아,유럽
45,201911,28,29,57,체코,유럽
46,201911,39,39,78,카자흐스탄,유럽
47,201911,0,0,0,크로아티아,유럽
48,201911,100,99,199,터키,유럽
49,201911,22,22,44,폴란드,유럽
50,201911,81,82,163,프랑스,유럽
51,201911,29,29,58,핀란드,유럽
52,201911,13,13,26,헝가리,유럽
53,201911,2197,2198,4395,일본,일본
54,201911,3770,3810,7580,중국,중국
55,201911,90,90,180,아랍에미리트,중동
56,201911,13,13,26,이스라엘,중동
57,201911,47,48,95,카타르,중동
58,201912,18,18,36,네팔,기타
59,201912,13,13,26,몰디브,기타
60,201912,0,0,0,스리랑카,기타
61,201912,31,22,53,에티오피아,기타
62,201912,62,62,124,인도,기타
63,201912,304,304,608,괌,대양주
64,201912,46,46,92,뉴질랜드,대양주
65,201912,185,186,371,사이판,대양주
66,201912,27,26,53,팔라우,대양주
67,201912,129,128,257,하와이,대양주
68,201912,103,103,206,호주,대양주
69,201912,124,124,248,라오스,동남아
70,201912,380,384,764,말레이시아,동남아
71,201912,47,47,94,미얀마,동남아
72,201912,1941,1942,3883,베트남,동남아
73,201912,18,18,36,브루나이,동남아
74,201912,280,283,563,싱가포르,동남아
75,201912,164,164,328,인도네시아,동남아
76,201912,99,99,198,캄보디아,동남아
77,201912,779,777,1556,태국,동남아
78,201912,1138,1137,2275,필리핀,동남아
79,201912,582,582,1164,대만,동북아
80,201912,225,228,453,마카오,동북아
81,201912,70,70,140,몽골,동북아
82,201912,732,762,1494,홍콩,동북아
83,201912,38,37,75,멕시코,미주
84,201912,1205,1157,2362,미국,미주
85,201912,11,8,19,브라질,미주
86,201912,0,0,0,칠레,미주
87,201912,109,109,218,캐나다,미주
88,201912,0,0,0,페루,미주
89,201912,49,49,98,네덜란드,유럽
90,201912,10,9,19,노르웨이,유럽
91,201912,214,213,427,독일,유럽
92,201912,320,320,640,러시아,유럽
93,201912,12,12,24,룩셈부르크,유럽
94,201912,14,14,28,벨기에,유럽
95,201912,8,8,16,스웨덴,유럽
96,201912,56,56,112,스페인,유럽
97,201912,12,12,24,아제르바이잔,유럽
98,201912,90,89,179,영국,유럽
99,201912,13,13,26,오스트리아,유럽
100,201912,57,58,115,우즈베키스탄,유럽
101,201912,99,98,197,이탈리아,유럽
102,201912,31,30,61,체코,유럽
103,201912,38,39,77,카자흐스탄,유럽
104,201912,93,94,187,터키,유럽
105,201912,21,21,42,폴란드,유럽
