년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020/03/31,"18,700","0","1,312,182","24,796,408,100","19,150","19,300","18,550","1,773,595","94,844,634"
2020/03/30,"18,700","-250","1,470,195","26,809,437,400","18,000","18,900","17,550","1,773,595","94,844,634"
2020/03/27,"18,950","600","2,633,752","50,401,161,150","19,800","20,100","18,100","1,797,306","94,844,634"
2020/03/26,"18,350","1,000","4,960,871","93,940,048,600","18,500","20,200","17,500","1,740,399","94,844,634"
2020/03/25,"17,350","2,350","4,564,606","78,793,125,200","16,500","18,100","16,500","1,645,554","94,844,634"
2020/03/24,"15,000","700","2,680,025","39,666,073,550","14,650","15,200","14,500","1,422,670","94,844,634"
2020/03/23,"14,300","-950","3,347,088","48,875,500,200","13,900","15,650","13,550","1,356,278","94,844,634"
2020/03/20,"15,250","1,650","7,782,231","114,757,932,650","13,600","16,350","12,800","1,446,381","94,844,634"
2020/03/19,"13,600","-4,500","5,231,313","76,387,161,000","17,850","18,100","12,850","1,289,887","94,844,634"
2020/03/18,"18,100","-1,700","1,426,430","27,021,317,300","19,800","20,050","17,900","1,716,688","94,844,634"
2020/03/17,"19,800","-300","1,306,014","25,765,891,400","18,700","21,000","18,700","1,877,924","94,844,634"
2020/03/16,"20,100","-500","1,077,330","22,120,472,250","21,150","21,700","19,900","1,906,377","94,844,634"
2020/03/13,"20,600","-1,100","1,799,050","36,050,769,300","19,300","21,150","19,250","1,953,799","94,844,634"
2020/03/12,"21,700","-1,050","1,355,702","29,649,526,400","22,650","22,650","21,500","2,058,129","94,844,634"
2020/03/11,"22,750","-800","1,121,555","25,988,077,700","23,650","23,950","22,600","2,157,715","94,844,634"
2020/03/10,"23,550","150","1,216,109","28,372,343,300","22,900","23,800","22,850","2,233,591","94,844,634"
2020/03/09,"23,400","-400","1,172,883","27,671,010,400","23,700","24,350","22,500","2,219,364","94,844,634"
2020/03/06,"23,800","-1,300","1,520,202","36,244,996,600","24,500","24,550","23,500","2,257,302","94,844,634"
2020/03/05,"25,100","1,100","2,216,940","55,354,201,150","24,350","25,550","24,150","2,380,600","94,844,634"
2020/03/04,"24,000","1,600","1,459,603","34,206,187,250","22,300","24,350","22,100","2,276,271","94,844,634"
2020/03/03,"22,400","100","1,010,651","22,939,471,300","22,600","23,150","22,300","2,124,520","94,844,634"
2020/03/02,"22,300","0","992,603","21,928,032,600","22,000","22,600","21,500","2,115,035","94,844,634"
2020/02/28,"22,300","-650","1,118,328","24,908,904,500","22,750","22,750","22,000","2,115,035","94,844,634"
2020/02/27,"22,950","0","1,045,609","24,138,477,100","22,700","23,700","22,350","2,176,684","94,844,634"
2020/02/26,"22,950","500","2,915,823","66,679,804,200","21,900","24,350","21,700","2,176,684","94,844,634"
2020/02/25,"22,450","350","1,289,061","28,648,571,950","22,000","22,650","21,700","2,129,262","94,844,634"
2020/02/24,"22,100","-1,450","1,633,736","36,542,428,100","22,800","22,850","22,050","2,096,066","94,844,634"
2020/02/21,"23,550","-100","727,771","17,193,410,250","23,500","23,900","23,250","2,233,591","94,844,634"
2020/02/20,"23,650","-550","959,631","22,939,994,750","24,450","24,700","23,650","2,243,076","94,844,634"
2020/02/19,"24,200","-250","681,276","16,489,502,350","24,850","24,850","24,000","2,295,240","94,844,634"
2020/02/18,"24,450","-850","891,527","21,946,672,700","25,250","25,250","24,400","2,318,951","94,844,634"
2020/02/17,"25,300","-350","462,173","11,679,846,350","25,550","25,650","25,100","2,399,569","94,844,634"
2020/02/14,"25,650","-400","425,300","10,951,329,400","26,050","26,150","25,600","2,432,765","94,844,634"
2020/02/13,"26,050","-50","744,099","19,444,242,950","26,100","26,550","25,900","2,470,703","94,844,634"
2020/02/12,"26,100","0","566,748","14,781,359,000","25,950","26,550","25,750","2,475,445","94,844,634"
2020/02/11,"26,100","-200","821,740","21,383,821,050","26,300","26,600","25,500","2,475,445","94,844,634"
2020/02/10,"26,300","-600","754,365","19,823,600,200","27,000","27,000","26,000","2,494,414","94,844,634"
2020/02/07,"26,900","-100","796,200","21,640,903,500","27,150","27,800","26,600","2,551,321","94,844,634"
2020/02/06,"27,000","1,000","1,240,187","33,440,794,050","26,000","27,450","26,000","2,560,805","94,844,634"
2020/02/05,"26,000","250","964,355","24,898,934,250","26,300","26,300","25,250","2,465,960","94,844,634"
2020/02/04,"25,750","1,600","1,956,707","49,871,244,300","24,250","26,650","23,800","2,442,249","94,844,634"
2020/02/03,"24,150","500","846,169","20,265,878,300","24,150","24,700","23,150","2,290,498","94,844,634"
2020/01/31,"23,650","-150","620,869","14,910,069,400","23,800","24,350","23,650","2,243,076","94,844,634"
2020/01/30,"23,800","-50","445,228","10,596,436,150","23,850","24,050","23,600","2,257,302","94,844,634"
2020/01/29,"23,850","150","618,201","14,802,941,400","23,850","24,300","23,600","2,262,045","94,844,634"
2020/01/28,"23,700","-1,700","1,668,337","39,351,481,500","23,350","24,300","22,800","2,247,818","94,844,634"
2020/01/23,"25,400","-1,100","757,735","19,418,822,300","26,200","26,300","25,000","2,409,054","94,844,634"
2020/01/22,"26,500","350","365,562","9,613,783,900","26,250","26,550","25,950","2,513,383","94,844,634"
2020/01/21,"26,150","-700","590,717","15,522,498,050","26,850","27,050","25,850","2,480,187","94,844,634"
2020/01/20,"26,850","-550","368,095","10,033,425,850","27,350","27,750","26,800","2,546,578","94,844,634"
2020/01/17,"27,400","-100","334,990","9,208,536,750","27,500","27,750","27,250","2,598,743","94,844,634"
2020/01/16,"27,500","400","348,287","9,542,797,750","27,100","27,650","26,850","2,608,227","94,844,634"
2020/01/15,"27,100","-50","303,515","8,209,914,050","27,050","27,300","26,800","2,570,290","94,844,634"
2020/01/14,"27,150","-150","500,234","13,577,738,800","27,100","27,600","26,900","2,575,032","94,844,634"
2020/01/13,"27,300","0","366,016","10,045,289,450","27,700","27,900","27,000","2,589,259","94,844,634"
2020/01/10,"27,300","-150","269,328","7,366,988,050","27,350","27,600","27,050","2,589,259","94,844,634"
2020/01/09,"27,450","1,150","614,807","16,741,042,350","26,650","27,450","26,650","2,603,485","94,844,634"
2020/01/08,"26,300","-550","676,198","17,787,052,350","26,450","26,700","25,950","2,494,414","94,844,634"
2020/01/07,"26,850","350","388,103","10,409,787,950","26,500","27,150","26,400","2,546,578","94,844,634"
2020/01/06,"26,500","-800","690,224","18,261,902,900","26,850","27,100","26,000","2,513,383","94,844,634"
2020/01/03,"27,300","-550","572,272","15,794,199,800","28,000","28,150","27,250","2,589,259","94,844,634"
2020/01/02,"27,850","-650","303,459","8,503,181,450","28,500","28,550","27,750","2,641,423","94,844,634"
