,month,airport,arrival,departure,passenger
0,201911,김포,168516,169641,338157
1,201911,김해,337633,344337,681970
2,201911,대구,76989,80114,157103
3,201911,무안,18981,19240,38221
4,201911,인천,2696930,2775548,5472478
5,201911,제주,109894,107351,217245
6,201911,청주,12705,12116,24821
7,201912,김포,176265,170656,346921
8,201912,김해,372490,382448,754938
9,201912,대구,79550,81817,161367
10,201912,무안,17599,18194,35793
11,201912,양양,949,484,1433
12,201912,인천,2942521,3008497,5951018
13,201912,제주,116325,114308,230633
14,201912,청주,8498,9262,17760
15,202001,김포,163625,166199,329824
16,202001,김해,387447,378877,766324
17,202001,대구,83495,81458,164953
18,202001,무안,20225,19436,39661
19,202001,양양,4930,5288,10218
20,202001,인천,3000050,3076561,6076611
21,202001,제주,110283,113958,224241
22,202001,청주,11588,11103,22691
23,202002,김포,93505,99423,192928
24,202002,김해,164070,143430,307500
25,202002,대구,27423,22473,49896
26,202002,무안,5653,3852,9505
27,202002,양양,652,1162,1814
28,202002,인천,1711495,1563997,3275492
29,202002,제주,16780,22082,38862
30,202002,청주,2181,1468,3649
31,202003,김포,5405,11546,16951
32,202003,김해,10588,11293,21881
33,202003,무안,33,78,111
34,202003,인천,319591,258489,578080
35,202003,제주,589,2787,3376
