,month,arrival,departure,passenger,country,region
0,201911,2428,2230,4658,네팔,기타
1,201911,1520,1513,3033,몰디브,기타
2,201911,789,1191,1980,스리랑카,기타
3,201911,1797,2183,3980,에티오피아,기타
4,201911,9495,9528,19023,인도,기타
5,201911,45424,46348,91772,괌,대양주
6,201911,7558,8011,15569,뉴질랜드,대양주
7,201911,20852,22432,43284,사이판,대양주
8,201911,1325,1293,2618,팔라우,대양주
9,201911,20709,21748,42457,하와이,대양주
10,201911,22390,24878,47268,호주,대양주
11,201911,16604,17417,34021,라오스,동남아
12,201911,71817,75006,146823,말레이시아,동남아
13,201911,4712,4929,9641,미얀마,동남아
14,201911,300452,321750,622202,베트남,동남아
15,201911,2386,2181,4567,브루나이,동남아
16,201911,63368,64219,127587,싱가포르,동남아
17,201911,34675,35049,69724,인도네시아,동남아
18,201911,10475,11399,21874,캄보디아,동남아
19,201911,154977,159882,314859,태국,동남아
20,201911,152480,167394,319874,필리핀,동남아
21,201911,148758,154648,303406,대만,동북아
22,201911,31448,33036,64484,마카오,동북아
23,201911,10674,10801,21475,몽골,동북아
24,201911,104354,106124,210478,홍콩,동북아
25,201911,2794,3330,6124,멕시코,미주
26,201911,107174,114206,221380,미국,미주
27,201911,0,0,0,브라질,미주
28,201911,0,0,0,칠레,미주
29,201911,16053,16951,33004,캐나다,미주
30,201911,0,0,0,페루,미주
31,201911,10737,10412,21149,네덜란드,유럽
32,201911,0,0,0,노르웨이,유럽
33,201911,30049,31504,61553,독일,유럽
34,201911,32007,34351,66358,러시아,유럽
35,201911,0,0,0,룩셈부르크,유럽
36,201911,0,0,0,벨기에,유럽
37,201911,0,0,0,스웨덴,유럽
38,201911,2359,698,3057,스위스,유럽
39,201911,10683,10136,20819,스페인,유럽
40,201911,0,0,0,아제르바이잔,유럽
41,201911,14893,17247,32140,영국,유럽
42,201911,2459,2028,4487,오스트리아,유럽
43,201911,9522,9289,18811,우즈베키스탄,유럽
44,201911,17629,17030,34659,이탈리아,유럽
45,201911,5496,5873,11369,체코,유럽
46,201911,5322,5945,11267,카자흐스탄,유럽
47,201911,0,1171,1171,크로아티아,유럽
48,201911,21202,20186,41388,터키,유럽
49,201911,5048,5181,10229,폴란드,유럽
50,201911,23089,23857,46946,프랑스,유럽
51,201911,7813,8044,15857,핀란드,유럽
52,201911,2432,2415,4847,헝가리,유럽
53,201911,283736,298643,582379,일본,일본
54,201911,531015,535860,1066875,중국,중국
55,201911,26216,25889,52105,아랍에미리트,중동
56,201911,1957,1962,3919,이스라엘,중동
57,201911,8582,7930,16512,카타르,중동
58,201912,1964,2317,4281,네팔,기타
59,201912,1273,1284,2557,몰디브,기타
60,201912,1436,1594,3030,스리랑카,기타
61,201912,2305,2491,4796,에티오피아,기타
62,201912,8692,9030,17722,인도,기타
63,201912,51902,50582,102484,괌,대양주
64,201912,11384,9508,20892,뉴질랜드,대양주
65,201912,28376,28762,57138,사이판,대양주
66,201912,1758,1655,3413,팔라우,대양주
67,201912,24137,23879,48016,하와이,대양주
